algorithm,size,data_type,time_ms
bubble_sort,100,random,0.3704
selection_sort,100,random,0.2024
insertion_sort,100,random,0.1867
merge_sort,100,random,0.194
quick_sort,100,random,0.1178
bubble_sort,1000,random,63.6365
selection_sort,1000,random,41.379
insertion_sort,1000,random,38.9073
merge_sort,1000,random,2.0957
quick_sort,1000,random,2.9829
bubble_sort,5000,random,1590.5857
selection_sort,5000,random,699.0308
insertion_sort,5000,random,814.5645
merge_sort,5000,random,13.8451
quick_sort,5000,random,10.6016
bubble_sort,10000,random,6500.47
selection_sort,10000,random,3539.8696
insertion_sort,10000,random,3429.1093
merge_sort,10000,random,39.3412
quick_sort,10000,random,33.8751
bubble_sort,100,sorted,0.0096
selection_sort,100,sorted,0.2153
insertion_sort,100,sorted,0.0102
merge_sort,100,sorted,0.1283
quick_sort,100,sorted,0.0966
bubble_sort,1000,sorted,0.0631
selection_sort,1000,sorted,32.7386
insertion_sort,1000,sorted,0.383
merge_sort,1000,sorted,1.4836
quick_sort,1000,sorted,1.0492
bubble_sort,5000,sorted,0.5129
selection_sort,5000,sorted,790.4318
insertion_sort,5000,sorted,0.6692
merge_sort,5000,sorted,12.7145
quick_sort,5000,sorted,12.8235
bubble_sort,10000,sorted,0.7838
selection_sort,10000,sorted,3277.6199
insertion_sort,10000,sorted,1.3815
merge_sort,10000,sorted,22.0623
quick_sort,10000,sorted,31.3369
bubble_sort,100,reversed,0.6106
selection_sort,100,reversed,1.6527
insertion_sort,100,reversed,1.5862
merge_sort,100,reversed,0.1759
quick_sort,100,reversed,0.1812
bubble_sort,1000,reversed,126.1723
selection_sort,1000,reversed,43.2293
insertion_sort,1000,reversed,92.1726
merge_sort,1000,reversed,2.1194
quick_sort,1000,reversed,1.0701
bubble_sort,5000,reversed,2167.0936
selection_sort,5000,reversed,781.3094
insertion_sort,5000,reversed,1504.7853
merge_sort,5000,reversed,8.7227
quick_sort,5000,reversed,6.9121
bubble_sort,10000,reversed,9467.8533
selection_sort,10000,reversed,3206.4749
insertion_sort,10000,reversed,6392.5586
merge_sort,10000,reversed,24.4419
quick_sort,10000,reversed,18.5444
bubble_sort,100,almost_sorted,0.2049
selection_sort,100,almost_sorted,0.249
insertion_sort,100,almost_sorted,0.2381
merge_sort,100,almost_sorted,0.1406
quick_sort,100,almost_sorted,0.1328
bubble_sort,1000,almost_sorted,37.9636
selection_sort,1000,almost_sorted,25.8716
insertion_sort,1000,almost_sorted,4.0923
merge_sort,1000,almost_sorted,2.7896
quick_sort,1000,almost_sorted,1.2926
bubble_sort,5000,almost_sorted,1021.6837
selection_sort,5000,almost_sorted,683.1302
insertion_sort,5000,almost_sorted,102.8463
merge_sort,5000,almost_sorted,13.9369
quick_sort,5000,almost_sorted,10.6372
bubble_sort,10000,almost_sorted,4417.0972
selection_sort,10000,almost_sorted,3377.872
insertion_sort,10000,almost_sorted,792.882
merge_sort,10000,almost_sorted,35.54
quick_sort,10000,almost_sorted,35.3112
